HYPERPARAMS
version: 100	h1_size: 64	h2_size: 64	npop: 5	sigma: 0.1	 alpha: 0.03
ENVIRONMENT
delta_l: 0.0001	max_steps: 500	goal_eps: 0.003


ep	reward	steps	start_d	end_d	covered	info
0	-29.6	500	0.0339	0.0439	-0.0100	False
1	29.2	500	0.1090	0.0772	0.0318	False
2	10.2	500	0.0603	0.0541	0.0061	False
3	46.0	500	0.0933	0.0504	0.0429	False
4	-19.0	500	0.0814	0.0969	-0.0155	False
5	-40.4	500	0.0943	0.1325	-0.0381	False
6	-79.2	500	0.0555	0.0994	-0.0439	False
7	20.7	500	0.0370	0.0293	0.0076	False
8	-4.7	500	0.0921	0.0964	-0.0043	False
9	41.9	500	0.1100	0.0639	0.0461	False
10	15.2	500	0.0649	0.0550	0.0099	False
11	29.0	500	0.0629	0.0447	0.0182	False
12	3.4	500	0.1044	0.1009	0.0035	False
13	12.7	500	0.0874	0.0763	0.0111	False
14	-74.7	500	0.0318	0.0555	-0.0237	False
15	-29.9	500	0.1086	0.1411	-0.0325	False
16	11.5	500	0.0850	0.0752	0.0097	False
17	-20.0	500	0.0303	0.0363	-0.0061	False
18	9.3	500	0.0681	0.0618	0.0063	False
19	-3.8	500	0.0594	0.0616	-0.0022	False
20	13.5	500	0.0512	0.0443	0.0069	False
21	-65.3	500	0.0888	0.1468	-0.0580	False
22	-170.6	500	0.0159	0.0430	-0.0271	False
